Year,Total Number of Entries Available,Number of Structures Released Annually
2023,205451,5777
2022,199674,14285
2021,185389,12582
2020,172807,13987
2019,158820,11487
2018,147333,11158
2017,136175,11062
2016,125113,10807
2015,114306,9244
2014,105062,9555
2013,95507,9337
2012,86170,8751
2011,77419,7927
2010,69492,7743
2009,61749,7288
2008,54461,6903
2007,47558,7134
2006,40424,6405
2005,34019,5334
2004,28685,5149
2003,23536,4147
2002,19389,2994
2001,16395,2812
2000,13583,2624
1999,10959,2356
1998,8603,2055
1997,6548,1564
1996,4984,1172
1995,3812,941
1994,2871,1289
1993,1582,696
1992,886,192
1991,694,187
1990,507,142
1989,365,74
1988,291,53
1987,238,25
1986,213,18
1985,195,20
1984,175,22
1983,153,36
1982,117,32
1981,85,16
1980,69,16
1979,53,11
1978,42,6
1977,36,23
1976,13,13